Iteration,Temperature,CurrentCost,BestCost
0,351.442,3514.42,3514.42
1,349.685,3514.42,3514.42
2,347.937,3514.42,3514.42
3,346.197,3514.42,3514.42
4,344.466,3514.42,3514.42
5,342.744,3514.42,3514.42
6,341.03,3514.42,3514.42
7,339.325,3514.42,3514.42
8,337.628,3514.42,3514.42
9,335.94,3514.42,3514.42
10,334.26,3514.42,3514.42
11,332.589,3514.42,3514.42
12,330.926,3514.42,3514.42
13,329.271,3514.42,3514.42
14,327.625,3514.42,3514.42
15,325.987,3514.42,3514.42
16,324.357,3514.42,3514.42
17,322.735,3514.42,3514.42
18,321.122,3514.42,3514.42
19,319.516,3514.42,3514.42
20,317.918,3514.42,3514.42
21,316.329,3514.42,3514.42
22,314.747,3514.42,3514.42
23,313.173,3514.42,3514.42
24,311.608,3514.42,3514.42
25,310.049,3514.42,3514.42
26,308.499,3514.42,3514.42
27,306.957,3514.42,3514.42
28,305.422,3514.42,3514.42
29,303.895,3683.43,3514.42
30,302.375,3683.43,3514.42
31,300.863,3683.43,3514.42
32,299.359,3683.43,3514.42
33,297.862,3683.43,3514.42
34,296.373,3683.43,3514.42
35,294.891,3683.43,3514.42
36,293.417,3683.43,3514.42
37,291.95,3683.43,3514.42
38,290.49,3683.43,3514.42
39,289.037,3683.43,3514.42
40,287.592,3683.43,3514.42
41,286.154,3683.43,3514.42
42,284.724,3683.43,3514.42
43,283.3,3683.43,3514.42
44,281.883,3683.43,3514.42
45,280.474,3683.43,3514.42
46,279.072,3683.43,3514.42
47,277.676,3683.43,3514.42
48,276.288,3683.43,3514.42
49,274.906,3683.43,3514.42
50,273.532,3683.43,3514.42
51,272.164,3728.92,3514.42
52,270.803,3728.92,3514.42
53,269.449,4052.84,3514.42
54,268.102,4052.84,3514.42
55,266.762,4052.84,3514.42
56,265.428,4052.84,3514.42
57,264.101,4052.84,3514.42
58,262.78,4052.84,3514.42
59,261.466,4052.84,3514.42
60,260.159,4052.84,3514.42
61,258.858,4052.84,3514.42
62,257.564,4027.91,3514.42
63,256.276,5783.58,3514.42
64,254.995,5783.58,3514.42
65,253.72,5783.58,3514.42
66,252.451,5783.58,3514.42
67,251.189,5783.58,3514.42
68,249.933,5783.58,3514.42
69,248.683,5783.58,3514.42
70,247.44,5783.58,3514.42
71,246.203,5783.58,3514.42
72,244.972,5783.58,3514.42
73,243.747,5783.58,3514.42
74,242.528,5783.58,3514.42
75,241.315,5783.58,3514.42
76,240.109,5783.58,3514.42
77,238.908,5783.58,3514.42
78,237.714,5783.58,3514.42
79,236.525,5783.58,3514.42
80,235.343,5783.58,3514.42
